Date;Price;Open;High;Low;Vol.;Change %
05.01.2024;67,892.9;60,665.0;71,872.0;56,643.5;1.76M;11.91%
04.01.2024;60,666.6;71,329.3;72,710.8;59,228.7;2.66M;-14.95%
03.01.2024;71,332.0;61,157.3;73,740.9;60,138.2;2.70M;16.61%
02.01.2024;61,169.3;42,580.1;63,915.3;41,890.5;1.74M;43.66%
01.01.2024;42,580.5;42,272.5;48,923.7;38,546.9;2.03M;0.73%
12.01.2023;42,272.5;37,712.9;44,697.6;37,618.3;1.63M;12.09%
11.01.2023;37,712.9;34,648.3;38,400.8;34,124.2;1.48M;8.84%
10.01.2023;34,650.6;26,962.5;35,191.4;26,558.4;1.61M;28.51%
09.01.2023;26,962.7;25,938.3;27,480.7;24,923.1;1.15M;3.95%
08.01.2023;25,937.3;29,232.3;30,168.6;25,481.9;1.34M;-11.27%
07.01.2023;29,232.4;30,472.9;31,764.5;28,890.7;1.23M;-4.07%
06.01.2023;30,472.9;27,216.4;31,395.4;24,838.0;1.77M;11.97%
05.01.2023;27,216.1;29,252.1;29,816.4;25,853.1;1.66M;-6.96%
04.01.2023;29,252.1;28,473.7;30,964.9;27,054.3;2.03M;2.73%
03.01.2023;28,473.7;23,130.6;29,160.4;19,591.8;10.26M;23.10%
02.01.2023;23,130.5;23,124.7;25,236.8;21,418.7;9.09M;0.02%
01.01.2023;23,125.1;16,537.5;23,952.9;16,499.7;8.98M;39.83%
12.01.2022;16,537.4;17,163.4;18,351.8;16,331.2;6.61M;-3.65%
11.01.2022;17,163.9;20,496.1;21,464.7;15,504.2;10.30M;-16.26%
10.01.2022;20,496.3;19,422.9;21,038.1;18,207.9;8.29M;5.53%
09.01.2022;19,423.0;20,049.9;22,702.5;18,191.8;10.91M;-3.10%
08.01.2022;20,043.9;23,303.4;25,205.7;19,542.9;6.55M;-13.99%
07.01.2022;23,303.4;19,926.6;24,605.3;18,794.4;5.79M;16.95%
06.01.2022;19,926.6;31,793.1;31,969.9;17,630.5;3.79M;-37.32%
05.01.2022;31,793.4;37,642.0;40,021.0;26,500.5;4.67B;-15.56%
04.01.2022;37,650.0;45,529.0;47,435.0;37,596.0;12.14B;-17.30%
03.01.2022;45,525.0;43,187.2;48,199.0;37,182.1;43.70B;5.41%
02.01.2022;43,188.2;38,475.6;45,755.2;34,357.4;1.82M;12.18%
01.01.2022;38,498.6;46,217.5;47,944.9;32,985.6;2.03M;-16.70%
12.01.2021;46,219.5;56,891.7;59,064.3;42,587.8;1.90M;-18.75%
11.01.2021;56,882.9;61,310.1;68,990.6;53,448.3;1.85M;-7.22%
10.01.2021;61,309.6;43,824.4;66,967.1;43,292.9;2.18M;39.90%
09.01.2021;43,823.3;47,129.2;52,885.3;39,646.8;2.21M;-7.02%
08.01.2021;47,130.4;41,510.0;50,498.8;37,365.4;2.14M;13.42%
07.01.2021;41,553.7;35,030.7;42,285.3;29,310.2;2.44M;18.63%
06.01.2021;35,026.9;37,294.3;41,318.0;28,901.8;4.14M;-6.09%
05.01.2021;37,298.6;57,719.1;59,523.9;30,261.7;5.33M;-35.38%
04.01.2021;57,720.3;58,763.2;64,778.0;47,098.5;2.97M;-1.78%
03.01.2021;58,763.7;45,160.5;61,795.8;45,008.8;3.01M;30.11%
02.01.2021;45,164.0;33,106.8;58,335.1;32,324.9;4.01M;36.41%
01.01.2021;33,108.1;28,951.7;41,921.7;28,204.5;5.50M;14.37%
12.01.2020;28,949.4;19,697.8;29,298.8;17,600.1;3.85M;46.97%
11.01.2020;19,698.1;18,394.6;19,831.2;16,235.2;4.05M;42.77%
10.01.2020;13,797.3;10,776.6;14,065.4;10,387.6;2.41M;28.04%
09.01.2020;10,776.1;11,644.2;12,045.9;9,877.1;83.88M;-7.46%
08.01.2020;11,644.2;11,333.2;12,444.1;10,730.7;15.39M;2.74%
07.01.2020;11,333.4;10,961.1;11,434.8;10,771.8;13.21M;24.06%
06.01.2020;9,135.4;9,454.5;10,301.8;8,865.3;15.35M;-3.38%
05.01.2020;9,454.8;8,628.6;10,033.0;8,235.6;38.48M;9.57%
04.01.2020;8,629.0;6,412.4;9,437.5;6,157.4;39.41M;34.56%
03.01.2020;6,412.5;8,543.8;9,180.8;3,869.5;48.24M;-24.94%
02.01.2020;8,543.7;9,349.3;10,482.6;8,543.7;23.76M;-8.62%
01.01.2020;9,349.1;7,196.4;9,569.0;6,884.1;23.56M;29.91%
12.01.2019;7,196.4;7,546.5;7,702.2;6,462.2;21.03M;-4.64%
11.01.2019;7,546.6;9,153.1;9,500.4;6,534.8;21.33M;-17.55%
10.01.2019;9,152.6;8,285.0;10,540.0;7,329.2;19.93M;10.48%
09.01.2019;8,284.3;9,594.7;10,896.2;7,749.0;13.58M;-13.65%
08.01.2019;9,594.4;10,081.9;12,291.9;9,343.0;17.53M;-4.84%
07.01.2019;10,082.0;10,821.4;13,134.4;9,082.6;23.61M;-6.81%
06.01.2019;10,818.6;8,556.9;13,929.8;7,480.4;22.96M;26.41%
05.01.2019;8,558.3;5,321.1;9,045.9;5,319.5;44.06M;60.85%
04.01.2019;5,320.8;4,102.3;5,594.4;4,076.8;54.03M;29.70%
03.01.2019;4,102.3;3,816.7;4,138.1;3,681.8;81.62M;7.49%
02.01.2019;3,816.6;3,437.7;4,194.2;3,382.5;23.13M;11.04%
01.01.2019;3,437.2;3,709.5;4,070.5;3,368.2;15.72M;-7.34%
12.01.2018;3,709.4;4,038.7;4,316.1;3,177.0;15.70M;-8.18%
11.01.2018;4,039.7;6,365.9;6,594.3;3,634.2;8.71M;-36.54%
10.01.2018;6,365.9;6,635.2;7,358.4;6,034.9;58.80M;-4.06%
09.01.2018;6,635.2;7,032.4;7,409.9;5,977.0;154.15M;-5.67%
08.01.2018;7,033.8;7,728.5;7,753.2;5,898.3;63.25M;-9.00%
07.01.2018;7,729.4;6,398.5;8,484.6;6,398.5;7.06M;20.79%
06.01.2018;6,398.9;7,502.5;7,775.0;5,785.3;4.78M;-14.71%
05.01.2018;7,502.6;9,245.1;9,992.8;7,069.8;5.04M;-18.85%
04.01.2018;9,245.1;6,939.1;9,753.1;6,460.1;6.22M;33.25%
03.01.2018;6,938.2;10,335.1;11,506.9;6,603.8;7.61M;-32.86%
02.01.2018;10,333.9;10,266.2;11,791.5;5,996.6;8.54M;0.67%
01.01.2018;10,265.4;13,850.5;17,252.8;9,271.3;4.84M;-25.88%
12.01.2017;13,850.4;9,947.1;19,870.6;9,420.9;5.12M;39.25%
11.01.2017;9,946.8;6,449.1;11,417.8;5,493.6;3.96M;54.18%
10.01.2017;6,451.2;4,360.6;6,467.2;4,143.4;2.98M;47.94%
09.01.2017;4,360.6;4,735.1;4,976.5;2,979.9;3.93M;-7.91%
08.01.2017;4,735.1;2,883.3;4,765.1;2,659.6;3.13M;64.23%
07.01.2017;2,883.3;2,480.6;2,932.8;1,809.0;3.75M;16.23%
06.01.2017;2,480.6;2,303.3;2,985.1;2,125.6;3.35M;7.70%
05.01.2017;2,303.3;1,351.9;2,781.8;1,342.8;3.45M;70.38%
04.01.2017;1,351.9;1,079.1;1,358.9;841.5;1.56M;25.28%
03.01.2017;1,079.1;1,189.3;1,330.4;890.4;2.68M;-9.26%
02.01.2017;1,189.3;965.5;1,211.7;924.7;1.31M;23.18%
01.01.2017;965.5;963.4;1,150.6;739.5;2.21M;0.22%
12.01.2016;963.4;742.5;982.6;741.1;1.27M;29.75%
11.01.2016;742.5;698.7;755.3;670.4;1.23M;6.27%
10.01.2016;698.7;608.1;720.2;606.5;905.66K;14.89%
09.01.2016;608.1;573.9;705.0;569.3;748.55K;5.97%
08.01.2016;573.9;621.9;627.9;471.4;1.08M;-7.72%
07.01.2016;621.9;670.0;701.5;605.0;1.63M;-7.19%
06.01.2016;670.0;528.9;776.0;521.3;3.55M;26.68%
05.01.2016;528.9;448.5;548.0;435.4;1.66M;17.92%
04.01.2016;448.5;415.7;468.9;412.4;1.39M;7.91%
03.01.2016;415.7;436.2;439.0;386.9;1.66M;-4.71%
02.01.2016;436.2;369.8;447.6;365.3;1.99M;17.95%
01.01.2016;369.8;430.0;462.9;350.4;2.49M;-13.98%
12.01.2015;430.0;378.0;467.7;347.2;3.20M;13.75%
11.01.2015;378.0;311.2;492.8;292.4;4.29M;21.44%
10.01.2015;311.2;235.9;334.9;234.7;2.28M;31.92%
09.01.2015;235.9;229.5;246.4;224.1;1.65M;2.82%
08.01.2015;229.5;283.7;285.7;196.3;2.22M;-19.12%
07.01.2015;283.7;264.1;315.9;243.2;1.86M;7.42%
06.01.2015;264.1;229.8;268.7;221.0;1.75M;14.91%
05.01.2015;229.8;235.8;247.9;228.2;1.64M;-2.52%
04.01.2015;235.8;244.1;261.5;214.1;2.07M;-3.43%
03.01.2015;244.1;254.1;301.0;234.8;2.97M;-3.90%
02.01.2015;254.1;218.5;264.6;209.7;2.09M;16.27%
01.01.2015;218.5;318.2;321.4;157.3;1.56M;-31.34%
12.01.2014;318.2;374.9;384.9;303.4;847.29K;-15.12%
11.01.2014;374.9;337.9;480.5;319.8;711.11K;10.97%
10.01.2014;337.9;388.2;407.7;294.9;569.00K;-12.96%
09.01.2014;388.2;481.8;498.5;372.6;295.62K;-19.43%
08.01.2014;481.8;589.5;608.2;450.0;126.17K;-18.28%
07.01.2014;589.5;635.1;652.5;564.0;107.22K;-7.18%
06.01.2014;635.1;627.9;676.5;560.8;111.81K;1.15%